epoch,step,train_loss,train_loss_Ambiance,train_loss_Cuisine,train_loss_Prix,train_loss_Service,val_acc_Ambiance,val_acc_Cuisine,val_acc_Prix,val_acc_Service,val_loss
0,9,5.9035515785217285,1.5277010202407837,1.5128228664398193,1.4251327514648438,1.4378950595855713,,,,,
0,19,5.937007427215576,1.5716590881347656,1.474157452583313,1.4949889183044434,1.3962020874023438,,,,,
0,29,5.805198669433594,1.566238522529602,1.4626272916793823,1.386265754699707,1.3900671005249023,,,,,
0,34,,,,,,0.10954616218805313,0.0954616591334343,0.16118936240673065,0.07042253762483597,5.821533203125
1,39,5.710536479949951,1.4923067092895508,1.4829272031784058,1.317343831062317,1.4179588556289673,,,,,
1,49,5.761831283569336,1.5573015213012695,1.4281420707702637,1.3890776634216309,1.3873100280761719,,,,,
1,59,5.531820774078369,1.4831339120864868,1.4093378782272339,1.2865626811981201,1.3527867794036865,,,,,
