epoch,step,train_loss,train_loss_Ambiance,train_loss_Cuisine,train_loss_Prix,train_loss_Service
0,9,5.469518661499023,1.452661156654358,1.3141478300094604,1.2000609636306763,1.5026488304138184
0,19,5.397241115570068,1.3808226585388184,1.2773070335388184,1.2827270030975342,1.456384301185608
0,29,5.189446926116943,1.5035889148712158,0.981671154499054,1.2325072288513184,1.4716796875
0,39,5.000390529632568,1.33697509765625,0.9325927495956421,1.361791968345642,1.3690307140350342
0,49,5.086450099945068,1.242102026939392,1.2213134765625,1.167333960533142,1.4557006359100342
0,59,5.203521728515625,1.222723364830017,1.2461974620819092,1.374017357826233,1.3605835437774658
0,69,4.298547744750977,1.1520569324493408,0.7196228504180908,1.2249144315719604,1.2019531726837158
0,79,4.988409042358398,1.240966796875,1.2226378917694092,1.3501280546188354,1.174676537513733
0,89,4.770800590515137,1.195318579673767,1.3757201433181763,0.7549804449081421,1.4447814226150513
0,99,3.520791530609131,0.975189208984375,0.6442474126815796,0.620556652545929,1.280798316001892
0,109,3.9264585971832275,1.0330626964569092,0.6375182867050171,1.1539733409881592,1.101904273033142
