epoch,step,train_loss,train_loss_Ambiance,train_loss_Cuisine,train_loss_Prix,train_loss_Service,val_acc_Ambiance,val_acc_Cuisine,val_acc_Prix,val_acc_Service,val_loss
0,9,5.960509300231934,1.5122900009155273,1.422560214996338,1.481006383895874,1.5446527004241943,,,,,
0,19,5.9768171310424805,1.6118433475494385,1.3870010375976562,1.4749302864074707,1.503042459487915,,,,,
0,23,,,,,,0.0954616591334343,0.15179969370365143,0.1956181526184082,0.1799686998128891,5.91689920425415
1,29,5.680517673492432,1.5058331489562988,1.3842676877975464,1.4039981365203857,1.3864188194274902,,,,,
1,39,5.5365986824035645,1.4968461990356445,1.3091866970062256,1.3828486204147339,1.34771728515625,,,,,
1,47,,,,,,0.09076682478189468,0.68544602394104,0.26134586334228516,0.3270735442638397,5.401101112365723
2,49,5.362919807434082,1.4379748106002808,1.278694987297058,1.356919288635254,1.2893307209014893,,,,,
2,59,5.174898147583008,1.3732986450195312,1.245984673500061,1.259795069694519,1.2958199977874756,,,,,
2,69,4.902437210083008,1.2642605304718018,1.102970838546753,1.2760558128356934,1.2591500282287598,,,,,
2,71,,,,,,0.4976525902748108,0.6948356628417969,0.6071987748146057,0.5790297389030457,4.659255504608154
3,79,4.633044242858887,1.3125908374786377,0.9775561094284058,1.1927964687347412,1.1501011848449707,,,,,
3,89,4.309961318969727,1.171458125114441,0.8645405769348145,1.0868431329727173,1.1871193647384644,,,,,
3,95,,,,,,0.4976525902748108,0.6948356628417969,0.6071987748146057,0.5790297389030457,4.465301990509033
4,99,4.106461524963379,1.1769304275512695,0.8432442545890808,0.9607870578765869,1.125499963760376,,,,,
4,109,4.090991973876953,1.080747365951538,1.0053880214691162,1.0798747539520264,0.9249820709228516,,,,,
4,119,4.60690975189209,1.1580123901367188,0.8223870992660522,1.466407299041748,1.1601030826568604,,,,,
4,119,,,,,,0.49921754002571106,0.6948356628417969,0.6071987748146057,0.5790297389030457,4.427273750305176
5,129,3.8591184616088867,1.0479090213775635,0.7650701403617859,0.8954373002052307,1.1507019996643066,,,,,
5,139,4.060682773590088,1.0166958570480347,1.0925389528274536,0.9625663161277771,0.9888818860054016,,,,,
5,143,,,,,,0.4960876405239105,0.6948356628417969,0.6071987748146057,0.5790297389030457,4.3658294677734375
6,149,4.295778751373291,1.2192254066467285,0.8640922904014587,1.2234208583831787,0.9890402555465698,,,,,
6,159,4.207459449768066,1.1547532081604004,0.8860623240470886,1.1463143825531006,1.0203297138214111,,,,,
6,167,,,,,,0.5101721286773682,0.6948356628417969,0.6071987748146057,0.5790297389030457,4.2954182624816895
7,169,4.1583251953125,1.056396245956421,1.0889866352081299,0.9794312119483948,1.0335114002227783,,,,,
7,179,3.8425893783569336,1.1636403799057007,0.8317948579788208,0.921062707901001,0.9260914325714111,,,,,
7,189,4.419944763183594,1.1844027042388916,1.0553600788116455,1.141141653060913,1.0390405654907227,,,,,
7,191,,,,,,0.5336463451385498,0.6948356628417969,0.6071987748146057,0.591549277305603,4.149625778198242
8,199,4.001762390136719,1.1254222393035889,0.7317987680435181,1.1049268245697021,1.0396146774291992,,,,,
8,209,4.228835105895996,1.018889307975769,1.2042573690414429,0.8795833587646484,1.1261049509048462,,,,,
8,215,,,,,,0.5633803009986877,0.6964006423950195,0.6071987748146057,0.6682316064834595,3.990962266921997
9,219,3.811335563659668,1.0454236268997192,0.8587724566459656,0.9907206892967224,0.9164186716079712,,,,,
9,229,3.830456018447876,1.0285108089447021,0.7714452743530273,0.9472359418869019,1.083263874053955,,,,,
9,239,4.20211935043335,1.126834511756897,0.9964599609375,1.4123505353927612,0.666474461555481,,,,,
9,239,,,,,,0.5618153214454651,0.7574334740638733,0.6338028311729431,0.6619718074798584,3.868396759033203
